Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023
"2","'004","Afghanistan","882","'02211","Raw milk of cattle","723113","Emissions (CO2eq) (AR5)","kt","1445.130500","1445.130500","1610.286000","1610.286000","1796.076000","1981.892500","2188.317000","2229.612500","2229.612500","2147.048000","2085.118000","2116.056500","2147.048000","2208.978000","2231.694500","2270.908000","2118.165000","2312.203500","2312.203500","2312.203500","2332.838000","2332.838000","2477.359000","2477.359000","2064.457000","1568.990500","1630.920500","1651.581500","1651.581500","1665.024000","2270.908000","2415.429000","2477.359000","2706.500000","3096.685500","3716.038500","4128.914000","4335.365000","4954.718000","4128.914000","3303.136500","5367.593500","5367.593500","4954.718000","5367.593500","5780.495500","6193.397500","6812.724000","6812.724000","8051.403500","7844.952500","8257.854500","8340.419000","8361.080000","7322.349400","7292.299400","6951.782400","7133.837900","7180.345500","7273.657500","7365.072100","7531.973800","7658.633700"
"2","'004","Afghanistan","882","'02211","Raw milk of cattle","5510","Production","t","350000.000000","350000.000000","400000.000000","400000.000000","450000.000000","500000.000000","550000.000000","583000.000000","583000.000000","500000.000000","480000.000000","515000.000000","560000.000000","580000.000000","584000.000000","600000.000000","522500.000000","532500.000000","544000.000000","556000.000000","556000.000000","556000.000000","600000.000000","600000.000000","500000.000000","300000.000000","360000.000000","360000.000000","360000.000000","560000.000000","600000.000000","640000.000000","765000.000000","945000.000000","1100000.000000","1260000.000000","1380000.000000","1430000.000000","1650000.000000","1320000.000000","800000.000000","1600000.000000","1480000.000000","1508500.000000","1458000.000000","1374800.000000","1434000.000000","1390800.000000","1413000.000000","1401000.000000","1403000.000000","1507700.000000","1495600.000000","2100702.350000","1855052.780000","1848155.640000","1765609.070000","1828222.900000","1836154.990000","1858668.770000","1880721.900000","1920567.030000","1950896.670000"
"2","'004","Afghanistan","1017","'21116","Meat of goat, fresh or chilled","71761","Emissions intensity","kg CO2eq/kg","64.361500","66.829600","63.197300","61.064300","43.753500","33.880000","23.121600","22.006100","19.843600","26.704000","25.308000","19.772100","19.572100","23.166500","23.965700","23.606200","34.538800","34.538800","30.539900","23.444500","22.168200","21.315500","18.250800","18.136200","24.265000","23.846900","23.400300","23.572300","23.444700","23.459600","23.471700","23.482400","23.725700","23.284800","23.883700","21.033400","21.379300","21.783600","24.157500","24.774700","22.309200","24.869100","25.382200","25.580100","24.275300","24.032700","20.816700","23.175400","22.002400","24.048100","26.884000","26.490800","25.433300","24.044500","24.752600","25.593500","25.469000","25.819700","26.056000","25.206500","25.731300","25.907300","26.024700"
"2","'004","Afghanistan","1017","'21116","Meat of goat, fresh or chilled","723113","Emissions (CO2eq) (AR5)","kt","786.498000","760.186500","665.467100","595.377300","497.696500","497.696500","469.657200","446.999600","403.073600","486.013400","514.068000","257.037300","343.490100","406.571600","467.331700","460.321700","457.985000","457.985000","428.779500","420.594300","432.279000","432.279000","355.179500","338.802700","315.444900","279.008700","322.456200","373.856000","420.598500","469.661700","518.724900","567.804000","616.867200","665.946300","745.171500","656.243600","778.207400","934.517700","1161.977500","1191.661800","725.049400","1163.873300","1220.884000","1263.657500","1104.526200","1062.244300","730.664900","964.097800","829.489200","1062.927200","1223.223900","1170.891400","1124.152200","1074.921900","1183.028300","1137.785400","1162.642600","1188.954000","1208.520600","1185.247500","1203.473800","1219.499600","1232.863800"
"2","'004","Afghanistan","1017","'21116","Meat of goat, fresh or chilled","5510","Production","t","12220.000000","11375.000000","10530.000000","9750.000000","11375.000000","14690.000000","20312.500000","20312.500000","20312.500000","18200.000000","20312.500000","13000.000000","17550.000000","17550.000000","19500.000000","19500.000000","13260.000000","13260.000000","14040.000000","17940.000000","19500.000000","20280.000000","19461.000000","18681.000000","13000.000000","11700.000000","13780.000000","15860.000000","17940.000000","20020.000000","22100.000000","24180.000000","26000.000000","28600.000000","31200.000000","31200.000000","36400.000000","42900.000000","48100.000000","48100.000000","32500.000000","46800.000000","48100.000000","49400.000000","45500.000000","44200.000000","35100.000000","41600.000000","37700.000000","44200.000000","45500.000000","44200.000000","44200.000000","44705.500000","47794.120000","44456.080000","45649.310000","46048.390000","46381.690000","47021.470000","46770.800000","47071.740000","47372.760000"
"2","'004","Afghanistan","1020","'02292","Raw milk of goats","71761","Emissions intensity","kg CO2eq/kg","5.567800","5.568000","5.561100","5.561200","5.555900","5.555900","5.561100","5.512700","5.517100","5.689100","5.683800","5.841800","5.204400","5.363600","5.310600","5.348400","5.282900","5.282900","5.111500","5.111400","5.007100","5.007100","5.013300","5.006900","5.007100","5.007300","5.374300","5.576000","5.722400","6.139400","6.175300","6.526500","6.527700","6.528900","7.343700","5.007100","5.140500","5.062700","4.154000","4.643600","4.576900","4.355100","5.089700","4.551400","5.007100","4.673300","4.673300","4.681600","4.673200","4.673200","4.673300","4.554500","4.619300","5.286400","5.382600","5.343500","5.365100","5.391100","5.412700","5.391500","5.407600","5.421500","5.432800"
"2","'004","Afghanistan","1020","'02292","Raw milk of goats","723113","Emissions (CO2eq) (AR5)","kt","194.872000","194.879500","222.445400","222.448700","250.016500","250.016500","278.055800","297.688200","297.923900","261.699500","210.300500","210.303200","228.993400","235.998400","233.665800","240.675800","243.012500","243.012500","245.350700","245.346700","245.347500","245.347500","275.731500","245.339900","210.296600","175.256700","214.970800","245.343000","280.399000","313.107800","345.816600","378.536000","411.244800","443.964200","514.057400","420.594100","514.053800","607.518900","560.789500","514.050200","443.955500","537.423900","514.056400","523.408400","525.742300","514.064500","528.078900","528.080700","528.069100","523.402200","560.790300","537.427700","520.133600","574.498600","621.524700","602.538500","612.737800","624.599000","633.224900","623.900600","632.099800","639.362500","645.498400"
"2","'004","Afghanistan","1020","'02292","Raw milk of goats","5510","Production","t","35000.000000","35000.000000","40000.000000","40000.000000","45000.000000","45000.000000","50000.000000","54000.000000","54000.000000","46000.000000","37000.000000","36000.000000","44000.000000","44000.000000","44000.000000","45000.000000","46000.000000","46000.000000","48000.000000","48000.000000","49000.000000","49000.000000","55000.000000","49000.000000","42000.000000","35000.000000","40000.000000","44000.000000","49000.000000","51000.000000","56000.000000","58000.000000","63000.000000","68000.000000","70000.000000","84000.000000","100000.000000","120000.000000","135000.000000","110700.000000","97000.000000","123400.000000","101000.000000","115000.000000","105000.000000","110000.000000","113000.000000","112800.000000","113000.000000","112000.000000","120000.000000","118000.000000","112600.000000","108674.290000","115470.190000","112761.880000","114208.270000","115857.220000","116989.680000","115718.480000","116891.740000","117931.670000","118813.980000"
"2","'004","Afghanistan","977","'21115","Meat of sheep, fresh or chilled","71761","Emissions intensity","kg CO2eq/kg","42.597000","43.026200","40.110100","37.369800","36.938600","40.836700","37.058200","34.626800","36.728600","37.157300","40.591100","23.368600","27.514400","28.656800","31.114500","26.084100","23.018800","20.325900","19.425700","19.023000","17.373600","17.520500","15.172100","14.974900","16.469700","14.531900","16.713200","18.996200","16.810900","13.431000","13.435100","13.524200","13.417900","13.078600","13.343700","13.365200","13.288100","13.544000","13.458400","13.445100","13.346100","13.239700","13.547200","13.453300","13.309800","13.505500","4.657500","10.488000","13.311600","12.705100","13.188500","13.189000","13.054800","13.008600","12.954400","12.966400","13.016000","12.866400","12.279500","12.170100","12.618700","12.753400","12.597300"
"2","'004","Afghanistan","977","'21115","Meat of sheep, fresh or chilled","723113","Emissions (CO2eq) (AR5)","kt","2598.415300","2624.598600","2607.158100","2615.883200","2696.515800","3062.748900","2964.653800","3151.036600","3158.660200","3269.846200","3531.428500","1752.644900","2256.183900","2550.458000","2924.766400","3051.842500","2854.335600","2601.717700","2408.783200","2434.938700","2310.692900","2347.751200","1896.508100","1722.112000","1729.313500","1380.526400","1671.324200","1994.597800","1849.199300","1544.454300","1547.722500","1471.428000","1416.926200","1381.099400","1366.395300","1518.290900","1637.098500","1776.973800","1938.008100","1634.920000","1516.116000","953.255100","997.070400","1097.791500","1171.262100","1015.614000","306.276900","911.197100","1326.896900","1435.680200","1516.675900","1463.983300","1383.803800","1423.230400","1391.308700","1396.075200","1464.835000","1415.305300","1361.655700","1338.713200","1324.965600","1300.842000","1269.715500"
